,Algorithm,Encoding_Method,MSLE,Root MSLE,R2 Score,Accuracy
38,AdaBoost Regressor,MEAN_ENC,0.0158047701829084,0.12571702423661005,0.6048277399890726,60.0
37,AdaBoost Regressor,ORDERED_INT_ENC,0.01597992770357551,0.12641173878867226,0.6020507412998826,60.0
32,RandomForest Regressor,OHE,0.016229107439519264,0.12739351411873082,0.5881404614505898,59.0
16,Lasso Regression,OHE,0.015291961544152355,0.1236606709675811,0.5937247240375869,59.0
8,Ridge Regression,OHE,0.01535730082197015,0.12392457715066109,0.591274491952852,59.0
61,XGBoost Regressor,ORDERED_INT_ENC,0.01836256101118338,0.13550852744821404,0.566184601871706,57.0
36,AdaBoost Regressor,INT_ENC,0.017104105459549747,0.130782664981066,0.5659658233066254,57.0
24,KNN,OHE,0.015500384097905924,0.12450053854464214,0.566177535364083,57.0
62,XGBoost Regressor,MEAN_ENC,0.01856522708532065,0.13625427364057485,0.560071826175107,56.0
30,RandomForest Regressor,MEAN_ENC,0.018297499935299107,0.13526825176403778,0.5567838610318878,56.0
29,RandomForest Regressor,ORDERED_INT_ENC,0.01814989185723153,0.13472153449701918,0.5522002160804558,55.0
40,AdaBoost Regressor,OHE,0.01726725892101987,0.13140494252888613,0.5490576972353194,55.0
56,XGBoost Regressor,OHE,0.018852522197959295,0.13730448717343252,0.5395991825183921,54.0
28,KNN,INT_ENC,0.01900725850583755,0.1378668143747347,0.5208646821230059,52.0
54,XGBoost Regressor,MEAN_ENC,0.020343631042806433,0.14263110124655995,0.4981241881599189,50.0
53,XGBoost Regressor,ORDERED_INT_ENC,0.01941349879463914,0.13933233219407168,0.504620361925342,50.0
52,XGBoost Regressor,INT_ENC,0.019641727985865717,0.14014894928562868,0.4966815481232477,50.0
60,XGBoost Regressor,INT_ENC,0.021716047059132913,0.1473636558284739,0.4969137529479116,50.0
48,XGBoost Regressor,OHE,0.01942683122004369,0.1393801679581557,0.5038273651855096,50.0
33,RandomForest Regressor,OHE_TOP,0.0172131105421128,0.13119874443801968,0.49129981281961965,49.0
46,XGBoost Regressor,MEAN_ENC,0.021261365381886617,0.14581277509836585,0.47338979669908154,47.0
45,XGBoost Regressor,ORDERED_INT,0.02205594129761858,0.1485124280914516,0.4597100547277463,46.0
57,XGBoost Regressor,OHE_TOP,0.01865567150874925,0.13658576612791412,0.44356335128639846,44.0
41,AdaBoost Regressor,OHE_TOP,0.018901196001942427,0.1374816205968726,0.42852369472185514,43.0
21,Lasso Regression,ORDERED_INT_ENC,0.02285783454387201,0.1511880767252233,0.4202061268861832,42.0
25,KNN,OHE_TOP,0.019602562465521667,0.14000915136347933,0.4183695268198645,42.0
13,Ridge Regression,ORDERED_INT_ENC,0.0228441725024355,0.1511428877004654,0.42036599297226973,42.0
49,XGBoost Regressor,OHE_TOP,0.019696993872650604,0.14034597918234282,0.42282951453151707,42.0
44,XGBoost Regressor,INT_ENC,0.02406869789637052,0.1551408969175134,0.42021740789662176,42.0
5,Linear Regression,ORDERED_INT_ENC,0.022857834675513784,0.15118807716058097,0.42020612660301127,42.0
35,RandomForest Regressor,FREQUENCY_ENC,0.02237134383265599,0.14957053129763226,0.3975177711690182,40.0
34,RandomForest Regressor,COUNT_ENC,0.02205275021791595,0.14850168422585633,0.40367322162049646,40.0
26,KNN,COUNT_ENC,0.02191862439275508,0.14804939848832577,0.37348578747189476,37.0
58,XGBoost Regressor,COUNT_ENC,0.02486545948003685,0.15768785457363813,0.36197362720935156,36.0
59,XGBoost Regressor,FREQUENCY_ENC,0.02486545948003685,0.15768785457363813,0.36197362720935156,36.0
27,KNN,FREQUENCY_ENC,0.02190153735111043,0.14799168000637883,0.36053126392656976,36.0
31,RandomForest Regressor,RARE_ENC,0.02279441420310941,0.15097819115060762,0.3379958073991137,34.0
9,Ridge Regression,OHE_TOP,0.02322919427135596,0.15241126687799678,0.3240768683545522,32.0
1,Linear Regression,OHE_TOP,0.023773844481782987,0.15418769238101654,0.3117856575251905,31.0
17,Lasso Regression,OHE_TOP,0.023773839661807843,0.15418767675079562,0.3117857574798545,31.0
47,XGBoost Regressor,RARE_ENC,0.024121332399673633,0.15531043879814915,0.2979300486193609,30.0
63,XGBoost Regressor,MEAN_ENC,0.024127360347922205,0.15532984371305536,0.29778898266529663,30.0
39,AdaBoost Regressor,RARE_ENC,0.024179381150922045,0.15549720624796462,0.2963455093779531,30.0
15,Lasso Regression,RARE_ENC,0.02507841395466139,0.1583616555693372,0.26595427445549713,27.0
55,XGBoost Regressor,RARE_ENC,0.025667424605761362,0.16021056334012862,0.27394615677726397,27.0
23,KNN,RARE_ENC,0.02508239670126483,0.15837422991530165,0.26487906313313814,26.0
7,Linear Regression,RARE_ENC,0.025082397000955173,0.15837423086144783,0.26487905098325426,26.0
14,Ridge Regression,MEAN_ENC,0.0922116163720749,0.3036636566533356,0.24682101745090923,25.0
22,KNN,MEAN_ENC,0.09235735095570498,0.3039035224470177,0.24670759148222454,25.0
6,Linear Regression,MEAN_ENC,0.09235735356186667,0.30390352673482857,0.24670758944342186,25.0
50,XGBoost Regressor,COUNT_ENC,0.02944418508152447,0.17159307993484024,0.2500645118779491,25.0
51,XGBoost Regressor,FREQUENCY_ENC,0.029257954576389782,0.17104956760070977,0.2186460369813087,22.0
3,Linear Regression,FREQUENCY_ENC,0.03091562424592138,0.1758283943108205,0.12094490258381396,12.0
2,Linear Regression,COUNT_ENC,0.03091562424592138,0.1758283943108205,0.12094490258381396,12.0
18,Lasso Regression,COUNT_ENC,0.030915624157361894,0.1758283940589855,0.12094490563978522,12.0
11,Ridge Regression,FREQUENCY_ENC,0.030931692115198993,0.17587408028245377,0.12133860438541022,12.0
10,Ridge Regression,COUNT_ENC,0.030909557150882724,0.17581114057670727,0.12115368650072678,12.0
19,Lasso Regression,FREQUENCY_ENC,0.030915624791475926,0.17582839586220403,0.12094490901224053,12.0
12,Ridge Regression,INT_ENC,0.031866861513551,0.17851291693754542,0.0979202076093385,10.0
20,Lasso Regression,INT_ENC,0.031877873458127405,0.17854375782459436,0.09754303508459061,10.0
4,Linear Regression,INT_ENC,0.03187787356453371,0.17854375812257822,0.09754303177106805,10.0
42,AdaBoost Regressor,COUNT_ENC,0.03352164433980265,0.18308917046019585,0.07523498242168525,8.0
43,XGBoost Regressor,FREQUENCY_ENC,0.03352164433980265,0.18308917046019585,0.07523498242168525,8.0
0,Linear Regression,OHE,7.685154999822551,2.77221121125764,-1.0582170423390191e+21,-1.058217042339019e+23
